game_id,game_date,season,team_id,team_name,location,opponent_id,opponent_name,total_points,points_allowed,offensive_possessions,defensive_possessions,pace,points_per_possession_off,points_allowed_per_possession_def,fg_percentage,three_percentage,efg_percentage,ts_percentage,tov_percentage,ft_rate,off_efficiency,defensive_rating,assist_rate,assist_percentage,three_point_attempt_rate,rebound_rate,fg_made,fg_attempted,three_ptrs_made,three_ptrs_attempted,ft_made,ft_attempted,turnovers,total_assists,total_rebounds,rebounds_offensive,rebounds_defensive,fouls_committed,fouls_drawn,steals,home_lineup_count,away_lineup_count
131,2025-11-07,2025-26,264,VTSU Castleton,Home,19,Rensselaer,60,72,58,63,60.5,1.0345,1.1429,0.4667,0.381,0.5556,0.5814,0.2012,0.3333,103.45,114.286,0.1102,0.381,0.4667,0.2066,21,45,8,21,10,15,13,8,25,7,18,20,15,4,21,11
131,2025-11-07,2025-26,19,Rensselaer,Away,264,VTSU Castleton,72,60,63,58,60.5,1.1429,1.0345,0.4333,0.2353,0.5,0.5335,0.1402,0.2833,114.29,103.448,0.1693,0.6154,0.5667,0.2479,26,60,8,34,12,17,11,16,30,15,15,15,20,5,21,11
1,2025-11-14,2025-26,4,Skidmore,Home,1,Middlebury,91,87,75,77,76,1.2133,1.1299,0.5094,0.5217,0.6226,0.6695,0.1283,0.6415,121.33,112.987,0.1429,0.4815,0.434,0.2039,27,53,12,23,25,34,10,13,31,6,25,23,25,9,18,28
1,2025-11-14,2025-26,1,Middlebury,Away,4,Skidmore,87,91,77,75,76,1.1299,1.2133,0.4328,0.3548,0.5149,0.5577,0.1034,0.3731,112.99,121.333,0.13,0.4483,0.4627,0.2237,29,67,11,31,18,25,9,13,34,11,23,25,23,5,18,28
132,2025-11-10,2025-26,266,SUNY Delhi,Home,19,Rensselaer,55,72,73,72,72.5,0.7534,1,0.35,0.2917,0.4083,0.4213,0.1661,0.2,75.34,100,0.1517,0.6667,0.4,0.1862,21,60,7,24,6,12,13,14,27,6,21,21,13,9,14,16
132,2025-11-10,2025-26,19,Rensselaer,Away,266,SUNY Delhi,72,55,72,73,72.5,1,0.7534,0.4808,0.3571,0.5288,0.5675,0.1912,0.5,100,75.342,0.1866,0.72,0.2692,0.2759,25,52,5,14,17,26,15,18,40,9,31,13,21,9,14,16
133,2025-11-15,2025-26,268,Penn St.-Altoona,Home,19,Rensselaer,69,98,73,72,72.5,0.9452,1.3611,0.4118,0.3333,0.5,0.5604,0.2164,0.4706,94.52,136.111,0.1603,0.7143,0.5294,0.2207,21,51,9,27,18,24,17,15,32,8,24,17,20,1,25,17
133,2025-11-15,2025-26,19,Rensselaer,Away,268,Penn St.-Altoona,98,69,72,73,72.5,1.3611,0.9452,0.5645,0.5,0.6694,0.6921,0.09,0.3226,136.11,94.521,0.2432,0.7143,0.4194,0.2138,35,62,13,26,15,20,7,25,31,6,25,20,17,12,25,17
68,2026-01-31,2025-26,13,Union (NY),Home,19,Rensselaer,50,56,65,67,66,0.7692,0.8358,0.3462,0.3214,0.4327,0.4539,0.2358,0.1346,76.92,83.582,0.111,0.5,0.5385,0.2197,18,52,9,28,5,7,17,9,29,7,22,13,10,8,12,3
68,2026-01-31,2025-26,19,Rensselaer,Away,13,Union (NY),56,50,67,65,66,0.8358,0.7692,0.42,0.25,0.46,0.5106,0.2366,0.22,83.58,76.923,0.1222,0.4762,0.32,0.2348,21,50,4,16,10,11,17,10,31,5,26,10,13,14,12,3
10,2025-12-06,2025-26,1,Middlebury,Home,22,Rochester (N.Y.),77,79,78,78,78,0.9872,1.0128,0.4203,0.3333,0.4783,0.5005,0.154,0.2609,98.72,101.282,0.1079,0.3793,0.3478,0.2372,29,69,8,24,11,18,14,11,37,13,24,18,20,5,27,18
10,2025-12-06,2025-26,22,Rochester (N.Y.),Away,1,Middlebury,79,77,78,78,78,1.0128,0.9872,0.4844,0.25,0.5156,0.5426,0.1313,0.3125,101.28,98.718,0.0668,0.1935,0.25,0.2051,31,64,4,16,13,20,11,6,32,9,23,20,18,9,27,18
2,2025-12-07,2025-26,1,Middlebury,Home,5,Carnegie Mellon,57,70,76,74,75,0.75,0.9459,0.2958,0.2,0.3521,0.3758,0.1165,0.1549,75,94.595,0.0853,0.381,0.5634,0.24,21,71,8,40,7,11,10,8,36,10,26,15,11,8,24,15
2,2025-12-07,2025-26,5,Carnegie Mellon,Away,1,Middlebury,70,57,74,76,75,0.9459,0.75,0.4833,0.3333,0.5333,0.5398,0.1776,0.1833,94.59,75,0.1321,0.4138,0.3,0.28,29,60,6,18,6,11,14,12,42,6,36,11,15,6,24,15
200,2026-01-24,2025-26,382,Springfield,Home,270,Wheaton (MA),65,70,70,71,70.5,0.9286,0.9859,0.5192,0.1538,0.5385,0.5384,0.2297,0.3654,92.86,98.592,0.1231,0.4074,0.25,0.2128,27,52,2,13,9,19,18,11,30,9,21,16,17,7,15,14
200,2026-01-24,2025-26,270,Wheaton (MA),Away,382,Springfield,70,65,71,70,70.5,0.9859,0.9286,0.4364,0.4,0.5091,0.5524,0.2016,0.3455,98.59,92.857,0.1119,0.4167,0.3636,0.1915,24,55,8,20,14,19,16,10,27,9,18,17,16,12,15,14
15,2026-01-06,2025-26,32,WPI,Home,1,Middlebury,85,57,75,75,75,1.1333,0.76,0.4839,0.4643,0.5887,0.6156,0.1585,0.2581,113.33,76,0.196,0.6667,0.4516,0.28,30,62,13,28,12,16,13,20,42,7,35,19,13,6,29,25
15,2026-01-06,2025-26,1,Middlebury,Away,32,WPI,57,85,75,75,75,0.76,1.1333,0.3273,0.2069,0.3818,0.4318,0.175,0.4545,76,113.333,0.0805,0.3889,0.5273,0.22,18,55,6,29,15,25,14,7,33,9,24,13,19,5,29,25
14,2026-01-02,2025-26,1,Middlebury,Home,29,Lasell,102,96,80,80,80,1.275,1.2,0.5965,0.5313,0.7456,0.7549,0.2195,0.4211,127.5,120,0.1877,0.5882,0.5614,0.2125,34,57,17,32,17,24,19,20,34,7,27,21,15,2,24,13
14,2026-01-02,2025-26,29,Lasell,Away,1,Middlebury,96,102,80,80,80,1.2,1.275,0.5455,0.3478,0.6061,0.6306,0.0842,0.3485,120,127.5,0.178,0.5,0.3485,0.1438,36,66,8,23,16,23,7,18,23,6,17,15,21,11,24,13
56,2025-11-30,2025-26,13,Union (NY),Home,33,Trinity (CT),56,97,71,67,69,0.7887,1.4478,0.3878,0.125,0.4082,0.4844,0.2474,0.4082,78.87,144.776,0.1049,0.4737,0.3265,0.1812,19,49,2,16,16,20,19,9,25,8,17,10,19,5,14,10
56,2025-11-30,2025-26,33,Trinity (CT),Away,13,Union (NY),97,56,67,71,69,1.4478,0.7887,0.5342,0.5172,0.637,0.6449,0.0962,0.0685,144.78,78.873,0.1697,0.4359,0.3973,0.2464,39,73,15,29,4,5,8,17,34,13,21,19,10,12,14,10
17,2026-01-10,2025-26,1,Middlebury,Home,36,Wesleyan (CT),62,86,72,73,72.5,0.8611,1.1781,0.3333,0.2692,0.3917,0.4421,0.1138,0.3833,86.11,117.808,0.1221,0.55,0.4333,0.1931,20,60,7,26,15,23,9,11,28,9,19,19,18,4,30,24
17,2026-01-10,2025-26,36,Wesleyan (CT),Away,1,Middlebury,86,62,73,72,72.5,1.1781,0.8611,0.5,0.25,0.525,0.5982,0.1221,0.45,117.81,86.111,0.089,0.2667,0.2,0.3103,30,60,3,12,23,27,10,8,45,14,31,18,19,4,30,24
18,2026-01-16,2025-26,38,Connecticut Col.,Home,1,Middlebury,110,92,93,93,93,1.1828,0.9892,0.38,0.2609,0.44,0.5015,0.0912,0.22,118.28,98.925,0.1171,0.4211,0.46,0.3495,38,100,12,46,22,22,11,16,65,25,40,25,30,2,28,27
18,2026-01-16,2025-26,1,Middlebury,Away,38,Connecticut Col.,84,104,88,87,87.5,0.9545,1.1954,0.3514,0.25,0.4122,0.4792,0.1115,0.4189,95.45,119.54,0.1164,0.5,0.4865,0.2057,26,74,9,36,23,31,11,13,36,7,29,28,21,4,28,27
19,2026-01-17,2025-26,40,Tufts,Home,1,Middlebury,73,62,73,73,73,1,0.8493,0.4068,0.3448,0.4915,0.5118,0.123,0.4746,100,84.932,0.1557,0.625,0.4915,0.2603,24,59,10,29,15,28,10,15,38,9,29,16,23,11,21,24
19,2026-01-17,2025-26,1,Middlebury,Away,40,Tufts,62,73,73,73,73,0.8493,1,0.3889,0.381,0.463,0.4936,0.1823,0.3704,84.93,100,0.1634,0.7143,0.3889,0.2123,21,54,8,21,12,20,14,15,31,5,26,23,16,5,21,24
21,2026-01-24,2025-26,1,Middlebury,Home,43,Williams,76,73,73,72,72.5,1.0411,1.0139,0.4643,0.4444,0.5714,0.5825,0.1443,0.375,104.11,101.389,0.136,0.4615,0.4821,0.1724,26,56,12,27,12,21,11,12,25,4,21,18,19,11,29,23
21,2026-01-24,2025-26,43,Williams,Away,1,Middlebury,73,76,72,73,72.5,1.0139,1.0411,0.4746,0.2727,0.5254,0.549,0.1636,0.2881,101.39,104.11,0.1312,0.4286,0.3729,0.2483,28,59,6,22,11,17,13,12,36,11,25,19,18,5,29,23
20,2026-01-19,2025-26,1,Middlebury,Home,41,Keene St.,87,89,84,79,81.5,1.0357,1.1266,0.4118,0.3824,0.5074,0.5416,0.1107,0.4118,103.57,112.658,0.1738,0.6786,0.5,0.2331,28,68,13,34,18,28,10,19,38,11,27,26,20,4,29,20
20,2026-01-19,2025-26,41,Keene St.,Away,1,Middlebury,89,87,79,84,81.5,1.1266,1.0357,0.4444,0.2143,0.4683,0.5613,0.0811,0.5873,112.66,103.571,0.075,0.25,0.2222,0.2699,28,63,3,14,30,37,7,7,44,10,34,20,26,5,29,20
24,2026-02-13,2025-26,1,Middlebury,Home,49,Amherst,64,79,70,71,70.5,0.9143,1.1127,0.3571,0.2963,0.4286,0.4905,0.1092,0.375,91.43,111.268,0.1306,0.55,0.4821,0.1773,20,56,8,27,16,21,8,11,25,4,21,19,20,7,25,14
24,2026-02-13,2025-26,49,Amherst,Away,1,Middlebury,79,64,71,70,70.5,1.1127,0.9143,0.4912,0.3438,0.5877,0.6168,0.1578,0.2807,111.27,91.429,0.1648,0.5357,0.5614,0.2766,28,57,11,32,12,16,12,15,39,6,33,20,19,5,25,14
22,2026-02-03,2025-26,1,Middlebury,Home,46,VTSU-Johnson,97,76,81,81,81,1.1975,0.9383,0.4524,0.2778,0.5119,0.5327,0.125,0.1905,119.75,93.827,0.1544,0.5,0.4286,0.3519,38,84,10,36,11,16,13,19,57,24,33,16,10,9,28,15
22,2026-02-03,2025-26,46,VTSU-Johnson,Away,1,Middlebury,76,97,81,81,81,0.9383,1.1975,0.4308,0.5217,0.5231,0.534,0.1644,0.2154,93.83,119.753,0.1412,0.5,0.3538,0.142,28,65,12,23,8,14,14,14,23,5,18,10,16,10,28,15
23,2026-02-07,2025-26,47,Colby,Home,1,Middlebury,83,71,74,73,73.5,1.1216,0.9726,0.3871,0.3333,0.4677,0.5551,0.0856,0.4677,112.16,97.26,0.1804,0.75,0.4839,0.2449,24,62,10,30,25,29,7,18,36,12,24,12,24,6,33,27
23,2026-02-07,2025-26,1,Middlebury,Away,47,Colby,71,83,73,74,73.5,0.9726,1.1216,0.3846,0.3333,0.4308,0.4839,0.1603,0.2923,97.26,112.162,0.1295,0.52,0.2769,0.2313,25,65,6,18,15,19,14,13,34,9,25,24,12,2,33,27
25,2026-02-14,2025-26,1,Middlebury,Home,51,Hamilton,60,73,74,75,74.5,0.8108,0.9733,0.3088,0.2059,0.3603,0.4045,0.1492,0.2059,81.08,97.333,0.1298,0.619,0.5,0.2282,21,68,7,34,11,14,13,13,34,9,25,21,13,10,22,10
25,2026-02-14,2025-26,51,Hamilton,Away,1,Middlebury,73,60,75,74,74.5,0.9733,0.8108,0.3607,0.1818,0.3934,0.5008,0.1611,0.4426,97.33,81.081,0.1032,0.4545,0.3607,0.255,22,61,4,22,25,27,14,10,38,8,30,13,21,8,22,10
51,2025-11-07,2025-26,13,Union (NY),Home,103,SUNY Poly,84,55,68,69,68.5,1.2353,0.7971,0.5333,0.4211,0.6,0.6105,0.1157,0.3333,123.53,79.71,0.1879,0.5625,0.3167,0.2555,32,60,8,19,12,20,9,18,35,9,26,15,15,11,16,23
