##,Player,GS,MIN,REB,PF,A,TO,BLK,STL,PTS,ORB,DRB,FG_pct,3PT_pct,FT_pct,Team,Date,Won
01,01 Cole Decker,0,18,1,1,1,0,0,0,16,0,1,0.75,0.8,NA,Bates,2026-02-01,1
04,04 Jamari Robinson,0,22,7,3,5,2,0,0,8,1,6,0.2,0,1,Bates,2026-02-01,1
34,34 Aidan Lawlor,0,11,3,1,0,0,0,0,3,0,3,0.3333333333333333,0.3333333333333333,NA,Bates,2026-02-01,1
07,07 Chris Bianco,0,9,0,0,0,2,0,0,2,0,0,0.5,0,NA,Bates,2026-02-01,1
24,24 Chiwer Mayen,0,7,3,1,0,0,1,0,2,2,1,1,NA,NA,Bates,2026-02-01,1
32,32 Ben Leach,0,7,3,1,0,1,0,0,0,2,1,0,0,NA,Bates,2026-02-01,1
TM,TM Team,0,0,3,0,0,0,0,0,0,0,3,NA,NA,NA,Bates,2026-02-01,1
,Totals,NA,200,32,16,17,11,5,7,89,8,24,0.46551724137931033,0.48484848484848486,0.8260869565217391,Bates,2026-02-01,1
21,"21 McKersie, Jackson",1,19,4,0,3,4,0,0,8,2,2,1,NA,0,Middlebury,2026-01-28,0
12,"12 Witherington, Edward",1,27,7,2,2,2,1,0,7,2,5,0.5,0.3333333333333333,NA,Middlebury,2026-01-28,0
11,"11 Murray, Ian",1,23,3,2,1,2,0,0,6,0,3,0.2857142857142857,0.2,0.5,Middlebury,2026-01-28,0
15,"15 Fuerbacher, Justin",1,22,5,2,0,0,0,0,2,2,3,1,NA,NA,Middlebury,2026-01-28,0
02,"02 Flaks, Evan",1,21,1,0,1,0,0,1,2,0,1,0.5,NA,NA,Middlebury,2026-01-28,0
01,"01 Cwalina, Kuba",0,24,7,0,3,2,0,1,23,1,6,0.4666666666666667,0.5454545454545454,0.5,Middlebury,2026-01-28,0
04,"04 Ramey, Sawyer",0,18,4,5,1,3,0,0,9,3,1,0.5,0,1,Middlebury,2026-01-28,0
20,"20 Ducree, Dominick",0,22,1,1,2,1,0,1,7,0,1,0.18181818181818182,0.14285714285714285,0.6666666666666666,Middlebury,2026-01-28,0
05,"05 Urena, Oliver",0,5,2,0,1,0,0,0,2,0,2,0.3333333333333333,0,NA,Middlebury,2026-01-28,0
13,"13 Newell, Mark",0,9,1,3,0,0,0,0,0,0,1,NA,NA,0,Middlebury,2026-01-28,0
23,"23 Lee, Donovan",0,7,0,3,1,0,0,0,0,0,0,0,0,NA,Middlebury,2026-01-28,0
31,"31 Morrison, Henry",0,3,0,1,0,0,0,0,0,0,0,NA,NA,NA,Middlebury,2026-01-28,0
TM,TM Team,0,0,7,0,0,4,0,0,0,7,0,NA,NA,NA,Middlebury,2026-01-28,0
,Totals,NA,200,42,19,15,18,1,3,66,17,25,0.4067796610169492,0.2903225806451613,0.5294117647058824,Middlebury,2026-01-28,0
04,"04 Reyes,Camryn",0,29,2,3,0,0,0,4,15,0,2,0.5555555555555556,0.6666666666666666,0.5,CCNY,2026-01-28,1
05,"05 Dinkins,Kayson",0,27,2,4,1,0,0,1,14,0,2,0.6,0.5,NA,CCNY,2026-01-28,1
12,"12 Bowman,Michael",0,37,2,0,5,4,0,2,11,1,1,0.4166666666666667,0,1,CCNY,2026-01-28,1
03,"03 Carcamo,Abdias",0,34,7,1,4,2,0,2,11,0,7,0.375,0.3333333333333333,1,CCNY,2026-01-28,1
25,"25 Aborisade,Olabanjo",0,22,4,1,0,0,1,1,7,0,4,0.75,1,0,CCNY,2026-01-28,1
21,"21 Popotte,Chris",0,20,6,5,0,5,0,0,7,4,2,0.4,NA,0.5,CCNY,2026-01-28,1
13,"13 Olubakin,Samuel",0,18,4,4,2,1,1,1,4,1,3,0.5,NA,NA,CCNY,2026-01-28,1
