##,Player,GS,MIN,REB,PF,A,TO,BLK,STL,PTS,ORB,DRB,FG_pct,3PT_pct,FT_pct,Team,Date,Won
23,23 Ryker Vance,1,21,6,0,0,0,0,2,13,2,4,0.5555555555555556,NA,0.5,Amherst,2025-02-14,1
31,31 Noah Helmke,1,8,1,4,0,0,0,1,0,0,1,0,0,NA,Amherst,2025-02-14,1
20,20 Bobby Sommers,1,3,1,0,0,0,0,0,0,0,1,0,0,NA,Amherst,2025-02-14,1
1,1 Marc Garraud,0,32,0,0,2,0,0,2,15,0,0,0.5555555555555556,0.8333333333333334,NA,Amherst,2025-02-14,1
11,11 Drew Martin,0,20,3,2,1,2,1,0,8,0,3,0.6,0.6666666666666666,NA,Amherst,2025-02-14,1
4,4 Elias Chin,0,32,3,0,7,1,0,1,6,0,3,0.3333333333333333,0,1,Amherst,2025-02-14,1
15,15 Chris Hammond,0,22,5,2,1,2,0,1,3,3,2,0.2,0.25,NA,Amherst,2025-02-14,1
TM,TM Team,0,0,4,0,0,0,0,0,0,3,1,NA,NA,NA,Amherst,2025-02-14,1
,Totals,NA,200,37,10,14,10,5,8,75,13,24,0.43333333333333335,0.37037037037037035,0.7222222222222222,Amherst,2025-02-14,1
12,"12 Witherington, Edward",1,35,6,3,3,0,0,0,20,2,4,0.5833333333333334,0.8,0.6666666666666666,Middlebury,2025-02-15,0
33,"33 Stevens, Sam",1,33,1,2,2,4,0,0,14,0,1,0.42857142857142855,0,1,Middlebury,2025-02-15,0
24,"24 Brennan, David",1,32,11,5,3,2,0,1,6,4,7,0.6,NA,NA,Middlebury,2025-02-15,0
04,"04 Ramey, Sawyer",1,36,4,0,7,3,0,2,4,0,4,0.18181818181818182,0,NA,Middlebury,2025-02-15,0
05,"05 Urena, Oliver",1,6,1,1,0,0,0,0,4,0,1,1,NA,NA,Middlebury,2025-02-15,0
01,"01 Cwalina, Kuba",0,30,3,0,0,1,1,0,16,0,3,0.5,0.4444444444444444,NA,Middlebury,2025-02-15,0
14,"14 Alberts, Maxwell",0,9,0,0,0,0,0,0,3,0,0,0.5,1,NA,Middlebury,2025-02-15,0
13,"13 Newell, Mark",0,7,3,4,1,3,0,0,2,1,2,0.3333333333333333,NA,NA,Middlebury,2025-02-15,0
35,"35 Schmitt, Scott",0,2,1,0,0,1,1,0,2,1,0,0.5,NA,NA,Middlebury,2025-02-15,0
11,"11 Murray, Ian",0,6,1,1,0,2,0,0,0,0,1,NA,NA,NA,Middlebury,2025-02-15,0
21,"21 McKersie, Jackson",0,4,3,1,1,0,0,0,0,0,3,NA,NA,NA,Middlebury,2025-02-15,0
TM,TM TEAM,0,0,5,0,0,0,0,0,0,3,2,NA,NA,NA,Middlebury,2025-02-15,0
,Totals,NA,200,39,17,17,16,2,3,71,11,28,0.4603174603174603,0.391304347826087,0.8,Middlebury,2025-02-15,0
00,"00 Morgan,Hank",1,34,6,3,2,1,0,1,26,0,6,0.4090909090909091,0.6,0.8333333333333334,Hamilton,2025-02-15,1
01,"01 Singh,Teja",1,31,3,0,2,1,0,0,7,2,1,0.23076923076923078,0.2,NA,Hamilton,2025-02-15,1
22,"22 Kane,Owen",1,23,3,1,0,1,1,2,6,0,3,0.5,NA,1,Hamilton,2025-02-15,1
13,"13 Robinson,Graham",1,14,1,1,0,0,0,1,0,1,0,0,0,NA,Hamilton,2025-02-15,1
21,"21 Xu,Cooper",1,4,1,1,0,1,0,0,0,1,0,NA,NA,NA,Hamilton,2025-02-15,1
12,"12 Keyhani,Garret",0,25,6,2,0,0,1,2,17,3,3,0.5833333333333334,0,0.6,Hamilton,2025-02-15,1
04,"04 Reese,Jalen",0,26,7,3,0,0,0,2,9,5,2,0.5,NA,1,Hamilton,2025-02-15,1
11,"11 Rideout,Matthew",0,25,0,0,1,2,0,0,5,0,0,0.5,NA,0.5,Hamilton,2025-02-15,1
02,"02 Nelson,Sharif",0,4,0,1,0,0,0,0,4,0,0,1,NA,NA,Hamilton,2025-02-15,1
33,"33 Raub,Nate",0,6,1,0,0,0,0,0,2,0,1,0,0,1,Hamilton,2025-02-15,1
15,"15 Jenkins,Connor",0,8,2,0,0,1,0,0,0,0,2,0,0,NA,Hamilton,2025-02-15,1
TM,TM TEAM,0,0,4,0,0,0,0,0,0,0,4,NA,NA,NA,Hamilton,2025-02-15,1
,Totals,NA,200,34,12,5,7,2,8,76,12,22,0.417910447761194,0.26666666666666666,0.8,Hamilton,2025-02-15,1
33,"33 Stevens, Sam",1,34,7,1,3,1,1,2,14,0,7,0.29411764705882354,0.3333333333333333,1,Middlebury,2023-11-14,0
03,"03 Osher, Noah",1,31,3,2,0,2,0,1,9,0,3,0.2857142857142857,0.16666666666666666,NA,Middlebury,2023-11-14,0
21,"21 McKersie, Jackson",1,21,7,1,1,0,1,0,9,5,2,0.8,NA,0.5,Middlebury,2023-11-14,0
24,"24 Brennan, David",1,25,8,4,3,1,0,2,8,4,4,0.5,NA,NA,Middlebury,2023-11-14,0
22,"22 Flaks, Evan",1,33,3,3,3,3,0,0,7,0,3,0.42857142857142855,0.5,NA,Middlebury,2023-11-14,0
14,"14 Joseph, Tristan",0,17,3,1,2,3,1,3,8,0,3,0.6,0.3333333333333333,0.5,Middlebury,2023-11-14,0
23,"23 Moore, Charley",0,11,2,2,0,0,0,0,6,0,2,1,NA,1,Middlebury,2023-11-14,0
02,"02 Bobbett, Jaden",0,19,3,1,4,2,0,1,5,3,0,0.16666666666666666,0,1,Middlebury,2023-11-14,0
12,"12 Witherington, Edward",0,6,1,1,0,3,0,0,0,0,1,0,0,NA,Middlebury,2023-11-14,0
10,"10 Cisse, Lamine",0,3,1,0,0,0,0,0,0,0,1,NA,NA,NA,Middlebury,2023-11-14,0
TM,TM TEAM,0,0,3,0,0,0,0,0,0,2,1,NA,NA,NA,Middlebury,2023-11-14,0
,Totals,NA,200,41,16,16,15,3,9,66,14,27,0.4,0.2631578947368421,0.8181818181818182,Middlebury,2023-11-14,0
11,11 Bruce Saintilus,1,31,4,1,3,4,0,3,19,2,2,0.5384615384615384,1,0.6,(MA),2023-11-14,1
44,44 Kekoa McArdle,1,33,13,2,1,1,0,1,17,4,9,0.6666666666666666,NA,0.3333333333333333,(MA),2023-11-14,1
05,05 Mikey O'Brien,1,36,1,1,5,2,0,2,15,0,1,0.7142857142857143,0.8,0.5,(MA),2023-11-14,1
01,01 Isaiah Taylor,1,19,2,4,1,3,0,1,12,0,2,0.625,0.5,0.5,(MA),2023-11-14,1
13,13 Reid Neumann,1,16,3,2,0,1,0,0,0,0,3,0,0,NA,(MA),2023-11-14,1
23,23 Jordan Richard,0,23,3,2,1,2,0,0,3,0,3,0.2,0,0.5,(MA),2023-11-14,1
24,24 Quentin Pridgen,0,20,3,1,3,0,1,2,2,1,2,0.3333333333333333,0,NA,(MA),2023-11-14,1
02,02 Christopher Clarke,0,8,2,1,0,1,0,0,2,1,1,0.3333333333333333,NA,NA,(MA),2023-11-14,1
03,03 Ian Calabrese,0,8,1,0,1,0,0,0,0,0,1,0,0,NA,(MA),2023-11-14,1
15,15 Nate Edwards-Roseney,0,6,0,0,0,0,0,0,0,0,0,NA,NA,NA,(MA),2023-11-14,1
TM,TM TEAM,0,0,2,0,0,0,0,0,0,0,2,NA,NA,NA,(MA),2023-11-14,1
,Totals,NA,200,34,14,15,14,1,9,70,8,26,0.4827586206896552,0.3888888888888889,0.5,(MA),2023-11-14,1
03,"03 Osher, Noah",1,34,7,2,0,1,1,0,15,2,5,0.5,0.25,0.8,Middlebury,2023-11-18,0
22,"22 Flaks, Evan",1,30,2,2,2,1,0,0,10,0,2,0.45454545454545453,0,NA,Middlebury,2023-11-18,0
24,"24 Brennan, David",1,33,5,3,1,3,0,2,9,3,2,0.375,NA,0.75,Middlebury,2023-11-18,0
23,"23 Moore, Charley",1,15,3,3,2,0,1,0,4,3,0,0.3333333333333333,0,0,Middlebury,2023-11-18,0
02,"02 Bobbett, Jaden",1,17,0,1,4,0,0,0,0,0,0,0,NA,NA,Middlebury,2023-11-18,0
33,"33 Stevens, Sam",0,30,10,1,2,0,2,0,21,5,5,0.5384615384615384,0.3333333333333333,0.75,Middlebury,2023-11-18,0
14,"14 Joseph, Tristan",0,25,4,5,2,1,0,1,12,0,4,0.6,0.5,1,Middlebury,2023-11-18,0
01,"01 Cwalina, Kuba",0,4,0,1,0,0,0,0,2,0,0,0.5,NA,NA,Middlebury,2023-11-18,0
21,"21 McKersie, Jackson",0,8,1,4,2,1,1,1,0,0,1,NA,NA,NA,Middlebury,2023-11-18,0
13,"13 Newell, Mark",0,4,2,1,0,0,0,1,0,1,1,0,NA,NA,Middlebury,2023-11-18,0
TM,TM TEAM,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,Middlebury,2023-11-18,0
,Totals,NA,200,34,23,15,7,5,5,73,14,20,0.4482758620689655,0.2727272727272727,0.75,Middlebury,2023-11-18,0
12,12 Trey Killens,1,31,2,1,4,1,0,0,22,1,1,0.6,0.3333333333333333,0.9,Wittenberg,2023-11-18,1
00,00 Jeff Queen,1,28,7,0,3,0,0,1,12,1,6,0.5555555555555556,0.5,NA,Wittenberg,2023-11-18,1
04,04 Cameron Harrison,1,25,2,0,3,0,0,0,8,0,2,0.5714285714285714,0,NA,Wittenberg,2023-11-18,1
32,32 Daniel Asher,1,18,4,5,1,2,1,1,8,2,2,0.6666666666666666,NA,NA,Wittenberg,2023-11-18,1
23,23 Eddie Brown,1,36,7,3,5,1,0,0,6,3,4,0.3333333333333333,0,NA,Wittenberg,2023-11-18,1
24,24 Tyler Galluch,0,21,2,2,1,1,1,1,8,1,1,0.42857142857142855,0,0.5,Wittenberg,2023-11-18,1
01,01 Grayson Steury,0,14,1,1,0,0,0,1,8,0,1,0.4,0.25,0.75,Wittenberg,2023-11-18,1
35,35 Dawson Scott,0,19,3,0,1,0,0,0,4,1,2,1,NA,0.5,Wittenberg,2023-11-18,1
10,10 Dean Tate,0,4,1,0,0,0,0,0,0,0,1,0,0,NA,Wittenberg,2023-11-18,1
22,22 Keith Rivers,0,4,0,2,0,1,0,0,0,0,0,NA,NA,NA,Wittenberg,2023-11-18,1
TM,TM TEAM,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,Wittenberg,2023-11-18,1
,Totals,NA,200,29,14,18,6,2,4,76,9,20,0.5,0.2222222222222222,0.7272727272727273,Wittenberg,2023-11-18,1
23,23 Elijah Kinney,1,30,15,3,0,1,1,0,25,10,5,0.5294117647058824,0.3333333333333333,0.8571428571428571,Middlebury,2023-11-26,1
01,01 Jalen Echevarria,1,34,2,2,4,2,0,1,17,0,2,0.4666666666666667,0.375,NA,Middlebury,2023-11-26,1
04,04 Mark Barrett,1,29,3,3,3,3,1,2,14,1,2,0.5,0.4,1,Middlebury,2023-11-26,1
00,00 Ty Vitko,1,26,3,1,2,0,1,0,12,1,2,0.4166666666666667,0.2857142857142857,0,Middlebury,2023-11-26,1
10,10 Jeff Hill,1,24,1,2,2,0,0,1,9,0,1,0.5,0.5,0.6666666666666666,Middlebury,2023-11-26,1
02,02 Matt Boen,0,17,3,1,1,4,1,1,4,1,2,0.6666666666666666,NA,NA,Middlebury,2023-11-26,1
25,25 Cam Homsey,0,14,2,2,1,0,0,0,3,0,2,0.3333333333333333,0.5,NA,Middlebury,2023-11-26,1
22,22 Liam Dunfee,0,13,3,1,0,2,0,1,2,2,1,0.2,0,0,Middlebury,2023-11-26,1
44,44 Parker McLaren,0,7,1,1,1,0,0,1,0,0,1,NA,NA,NA,Middlebury,2023-11-26,1
05,05 Drew Brown,0,6,2,0,0,0,0,0,0,0,2,0,0,NA,Middlebury,2023-11-26,1
TM,TM TEAM,0,0,3,0,0,0,0,0,0,0,3,NA,NA,NA,Middlebury,2023-11-26,1
,Totals,NA,200,38,16,14,12,4,7,86,15,23,0.4583333333333333,0.3448275862068966,0.7142857142857143,Middlebury,2023-11-26,1
03,"03 Osher, Noah",1,34,5,2,1,2,0,0,32,0,5,0.5454545454545454,0.7142857142857143,1,Endicott,2023-11-26,0
24,"24 Brennan, David",1,32,21,2,3,1,0,3,23,12,9,0.5625,NA,0.625,Endicott,2023-11-26,0
33,"33 Stevens, Sam",1,11,2,0,2,1,0,0,5,0,2,0.6666666666666666,1,NA,Endicott,2023-11-26,0
21,"21 McKersie, Jackson",1,23,2,1,2,0,3,1,2,2,0,0.3333333333333333,NA,NA,Endicott,2023-11-26,0
22,"22 Flaks, Evan",1,28,6,3,1,1,0,0,0,1,5,0,0,NA,Endicott,2023-11-26,0
14,"14 Joseph, Tristan",0,30,1,1,1,1,0,1,15,0,1,0.6,0.6,NA,Endicott,2023-11-26,0
02,"02 Bobbett, Jaden",0,17,3,2,4,3,0,0,6,2,1,0.2857142857142857,0,1,Endicott,2023-11-26,0
01,"01 Cwalina, Kuba",0,7,0,1,0,0,0,1,5,0,0,0.4,0.3333333333333333,NA,Endicott,2023-11-26,0
10,"10 Cisse, Lamine",0,5,1,0,2,0,0,0,2,1,0,0.5,NA,NA,Endicott,2023-11-26,0
12,"12 Witherington, Edward",0,7,2,2,0,1,0,0,0,0,2,0,0,NA,Endicott,2023-11-26,0
23,"23 Moore, Charley",0,6,0,1,0,1,0,0,0,0,0,NA,NA,NA,Endicott,2023-11-26,0
TM,TM TEAM,0,0,5,0,0,0,0,0,0,3,2,NA,NA,NA,Endicott,2023-11-26,0
,Totals,NA,200,48,15,16,11,3,6,90,21,27,0.44871794871794873,0.47619047619047616,0.7692307692307693,Endicott,2023-11-26,0
03,"03 Osher, Noah",1,34,2,4,3,3,0,3,26,0,2,0.6875,0.5,NA,Middlebury,2023-11-28,1
14,"14 Joseph, Tristan",1,31,1,1,4,0,0,0,15,0,1,0.46153846153846156,0.3333333333333333,0.5,Middlebury,2023-11-28,1
22,"22 Flaks, Evan",1,28,2,1,6,2,0,0,12,1,1,0.5,0.6666666666666666,1,Middlebury,2023-11-28,1
24,"24 Brennan, David",1,24,16,2,5,1,0,0,6,4,12,0.3333333333333333,NA,0.6666666666666666,Middlebury,2023-11-28,1
21,"21 McKersie, Jackson",1,16,1,3,1,0,0,0,6,0,1,1,NA,NA,Middlebury,2023-11-28,1
02,"02 Bobbett, Jaden",0,20,1,0,1,2,0,1,7,0,1,0.5,0.3333333333333333,NA,Middlebury,2023-11-28,1
10,"10 Cisse, Lamine",0,15,3,1,2,0,0,0,4,2,1,0.3333333333333333,NA,1,Middlebury,2023-11-28,1
13,"13 Newell, Mark",0,12,0,1,0,1,0,0,2,0,0,1,NA,NA,Middlebury,2023-11-28,1
01,"01 Cwalina, Kuba",0,7,1,0,0,0,0,0,2,0,1,0.3333333333333333,0,NA,Middlebury,2023-11-28,1
23,"23 Moore, Charley",0,13,2,1,0,0,0,0,0,2,0,0,NA,NA,Middlebury,2023-11-28,1
TM,TM TEAM,0,0,3,0,0,1,0,0,0,3,0,NA,NA,NA,Middlebury,2023-11-28,1
,Totals,NA,200,32,14,22,10,0,4,80,12,20,0.5161290322580645,0.4090909090909091,0.7777777777777778,Middlebury,2023-11-28,1
55,55 Jayden McGrew,1,32,4,1,7,0,0,0,16,2,2,0.6666666666666666,NA,0.8,Col.,2023-11-28,0
14,14 Alex Williams,1,29,4,1,2,3,0,0,12,2,2,0.5,0.6666666666666666,NA,Col.,2023-11-28,0
23,23 Junior Efosa,1,18,5,3,0,1,0,0,6,0,5,0.25,NA,1,Col.,2023-11-28,0
12,12 Kyle Inglis,1,19,1,1,1,2,0,0,5,0,1,0.5,0.5,NA,Col.,2023-11-28,0
13,13 Nick Gomeau,1,16,1,0,1,0,0,1,2,0,1,0.25,0,NA,Col.,2023-11-28,0
30,30 Michael Hills,0,22,2,1,0,1,0,1,10,0,2,0.6666666666666666,NA,1,Col.,2023-11-28,0
33,33 Aiden MacLeod,0,15,2,1,2,0,0,0,6,1,1,0.5,NA,NA,Col.,2023-11-28,0
22,22 Justin Dunne,0,14,4,1,0,0,1,0,6,1,3,0.5,0,1,Col.,2023-11-28,0
02,02 Kyle Dzarnowski,0,20,1,0,1,1,0,2,3,0,1,0.5,NA,0.5,Col.,2023-11-28,0
31,31 Stravis Lutchman,0,8,0,0,0,0,0,1,2,0,0,1,NA,NA,Col.,2023-11-28,0
05,05 Treyjon Lewis,0,7,3,3,2,3,1,2,2,2,1,0.5,NA,NA,Col.,2023-11-28,0
TM,TM TEAM,0,0,2,0,0,0,0,0,0,1,1,NA,NA,NA,Col.,2023-11-28,0
,Totals,NA,200,29,12,16,11,2,7,70,9,20,0.5,0.42857142857142855,0.8461538461538461,Col.,2023-11-28,0
15,15 Tomiwa Adetosoye,1,27,3,1,1,1,1,4,21,1,2,0.7272727272727273,1,0.8,Middlebury,2023-12-02,0
12,12 Logan Jagodzinski,1,32,8,1,1,2,0,0,11,2,6,0.4,0.5,1,Middlebury,2023-12-02,0
05,05 Matt Niemczura,1,22,3,3,3,0,2,3,8,1,2,0.75,0,1,Middlebury,2023-12-02,0
21,21 Mitchell Kershner,1,25,3,1,1,0,0,2,6,1,2,0.3333333333333333,0,1,Middlebury,2023-12-02,0
24,24 C.J. Amsellem,1,17,1,1,1,3,0,0,4,1,0,0.6666666666666666,NA,NA,Middlebury,2023-12-02,0
13,13 Matt Wiele,0,26,8,0,1,0,1,0,19,1,7,0.625,0,0.75,Middlebury,2023-12-02,0
04,04 Corvin Oprea,0,16,1,0,0,2,0,1,3,0,1,0.14285714285714285,0.2,NA,Middlebury,2023-12-02,0
03,03 Ethan McEachem,0,12,3,0,0,1,0,0,0,0,3,0,0,NA,Middlebury,2023-12-02,0
23,23 Malachi Moore,0,9,2,2,1,1,0,0,0,1,1,0,0,NA,Middlebury,2023-12-02,0
01,01 Andrew Jackson,0,5,2,0,0,1,0,0,0,0,2,0,0,NA,Middlebury,2023-12-02,0
33,33 David Ackles,0,4,0,0,0,1,0,0,0,0,0,NA,NA,NA,Middlebury,2023-12-02,0
10,10 Theo Murray,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,Middlebury,2023-12-02,0
22,22 Amir Basma,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,Middlebury,2023-12-02,0
25,25 Jack Garside,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,Middlebury,2023-12-02,0
02,02 Nate Beitel,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,Middlebury,2023-12-02,0
00,00 Josiah Knight,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,Middlebury,2023-12-02,0
TM,TM TEAM,0,0,3,0,0,0,0,0,0,0,3,NA,NA,NA,Middlebury,2023-12-02,0
,Totals,NA,200,37,9,9,12,4,10,72,8,29,0.45454545454545453,0.1875,0.8260869565217391,Middlebury,2023-12-02,0
24,"24 Brennan, David",1,30,5,5,2,5,0,0,10,3,2,0.4444444444444444,NA,0.5,(NY),2023-12-02,1
03,"03 Osher, Noah",1,27,3,3,0,0,0,2,9,0,3,0.36363636363636365,0,1,(NY),2023-12-02,1
22,"22 Flaks, Evan",1,24,3,3,0,2,0,1,7,0,3,0.3333333333333333,0.3333333333333333,NA,(NY),2023-12-02,1
33,"33 Stevens, Sam",1,25,0,2,2,4,0,0,6,0,0,0.375,0,NA,(NY),2023-12-02,1
21,"21 McKersie, Jackson",1,19,4,4,1,3,0,1,2,2,2,0.5,NA,NA,(NY),2023-12-02,1
01,"01 Cwalina, Kuba",0,10,1,0,0,0,0,0,10,0,1,0.6666666666666666,1,NA,(NY),2023-12-02,1
23,"23 Moore, Charley",0,14,6,2,0,0,0,0,6,1,5,0.75,NA,NA,(NY),2023-12-02,1
12,"12 Witherington, Edward",0,1,0,0,0,0,0,0,4,0,0,1,NA,NA,(NY),2023-12-02,1
14,"14 Joseph, Tristan",0,23,0,0,1,1,0,0,2,0,0,0.14285714285714285,0,NA,(NY),2023-12-02,1
02,"02 Bobbett, Jaden",0,16,1,1,0,0,0,1,2,0,1,0.5,0,0,(NY),2023-12-02,1
10,"10 Cisse, Lamine",0,7,3,1,0,1,1,0,0,0,3,NA,NA,NA,(NY),2023-12-02,1
15,"15 Smith, Dean",0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,(NY),2023-12-02,1
13,"13 Newell, Mark",0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,(NY),2023-12-02,1
11,"11 Murray, Ian",0,1,0,0,1,0,0,0,0,0,0,NA,NA,NA,(NY),2023-12-02,1
05,"05 Urena, Oliver",0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,(NY),2023-12-02,1
TM,TM TEAM,0,0,4,0,0,0,0,0,0,1,3,NA,NA,NA,(NY),2023-12-02,1
,Totals,NA,200,30,21,7,16,1,5,58,7,23,0.43333333333333335,0.2,0.5,(NY),2023-12-02,1
03,"03 Osher, Noah",1,40,3,2,6,3,0,0,26,1,2,0.5263157894736842,0.46153846153846156,NA,Middlebury,2023-12-06,1
14,"14 Joseph, Tristan",1,41,6,0,2,1,1,1,25,0,6,0.47368421052631576,0.375,0.5,Middlebury,2023-12-06,1
24,"24 Brennan, David",1,40,28,2,4,2,0,1,11,6,22,0.6,NA,0.45454545454545453,Middlebury,2023-12-06,1
21,"21 McKersie, Jackson",1,12,6,2,1,1,0,0,4,3,3,0.4,NA,NA,Middlebury,2023-12-06,1
22,"22 Flaks, Evan",1,31,7,2,5,6,0,0,2,1,6,0.16666666666666666,0,NA,Middlebury,2023-12-06,1
01,"01 Cwalina, Kuba",0,18,4,1,0,0,0,0,9,1,3,0.4444444444444444,0.25,NA,Middlebury,2023-12-06,1
23,"23 Moore, Charley",0,8,3,0,0,1,1,0,3,3,0,0.5,NA,0.5,Middlebury,2023-12-06,1
02,"02 Bobbett, Jaden",0,12,0,2,3,3,0,0,0,0,0,0,0,NA,Middlebury,2023-12-06,1
10,"10 Cisse, Lamine",0,9,2,3,0,2,2,1,0,0,2,0,0,NA,Middlebury,2023-12-06,1
13,"13 Newell, Mark",0,6,1,1,0,0,0,0,0,1,0,0,NA,0,Middlebury,2023-12-06,1
12,"12 Witherington, Edward",0,5,0,1,0,1,0,0,0,0,0,0,0,NA,Middlebury,2023-12-06,1
11,"11 Murray, Ian",0,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,Middlebury,2023-12-06,1
TM,TM TEAM,0,0,6,0,0,0,0,0,0,3,3,NA,NA,NA,Middlebury,2023-12-06,1
,Totals,NA,225,66,16,21,20,4,3,80,19,47,0.410958904109589,0.3333333333333333,0.43478260869565216,Middlebury,2023-12-06,1
01,01 Kevin Tabb,1,39,6,3,1,2,0,2,26,4,2,0.42857142857142855,0.5555555555555556,0.75,St.,2023-12-06,0
00,00 Franklin Infante,1,31,5,0,2,1,0,2,11,2,3,0.4166666666666667,0.3333333333333333,0,St.,2023-12-06,0
04,04 Willard Anderson Jr.,1,36,4,2,2,1,2,4,7,0,4,0.16666666666666666,0.25,0.6666666666666666,St.,2023-12-06,0
23,23 Dylan Trombley,1,38,6,1,3,0,0,0,6,0,6,0.21428571428571427,0,NA,St.,2023-12-06,0
35,35 Tim Thomas,1,15,3,0,1,0,0,2,0,1,2,0,0,NA,St.,2023-12-06,0
22,22 Jeremiah Smith,0,21,5,2,0,1,1,2,16,2,3,0.6666666666666666,NA,0,St.,2023-12-06,0
05,05 Ikechukwu Ezike,0,10,2,2,1,1,1,0,6,0,2,0.6666666666666666,1,0.5,St.,2023-12-06,0
15,15 Ladan Graves,0,10,4,2,0,0,1,1,2,2,2,0,NA,1,St.,2023-12-06,0
24,24 Orlando Dawkins,0,8,3,1,0,0,0,0,2,1,2,0.3333333333333333,NA,NA,St.,2023-12-06,0
10,10 Sasha Vidrini,0,15,2,1,0,2,0,1,0,0,2,0,0,NA,St.,2023-12-06,0
03,03 Darren Wright,0,2,0,1,0,1,0,0,0,0,0,NA,NA,NA,St.,2023-12-06,0
TM,TM TEAM,0,0,4,0,0,0,0,0,0,0,4,NA,NA,NA,St.,2023-12-06,0
,Totals,NA,225,44,15,10,9,5,14,76,12,32,0.35365853658536583,0.2857142857142857,0.5882352941176471,St.,2023-12-06,0
23,23 Hakeem Daphnis,1,29,2,1,2,1,0,1,12,0,2,0.6666666666666666,0.5,0.5,Middlebury,2023-12-08,1
15,15 Aidan Roy,1,25,2,1,2,1,0,2,12,1,1,0.35714285714285715,0.2,0.5,Middlebury,2023-12-08,1
14,14 Joey Skoric,1,27,4,1,1,1,3,0,9,1,3,0.4,0.2,NA,Middlebury,2023-12-08,1
32,32 Jack LaGarde,1,23,9,0,0,0,0,1,2,3,6,1,NA,NA,Middlebury,2023-12-08,1
04,04 Alexei Downie,1,22,2,2,1,0,0,0,2,0,2,0.25,0,0,Middlebury,2023-12-08,1
21,21 Alexander Nunn,0,11,4,2,0,0,0,0,4,1,3,0.6666666666666666,NA,NA,Middlebury,2023-12-08,1
02,02 Prince Shyllon,0,9,1,0,0,0,0,0,4,1,0,0.2,0.5,0.5,Middlebury,2023-12-08,1
12,12 Nick Padilla,0,15,2,0,1,2,0,0,2,1,1,0.1111111111111111,0,NA,Middlebury,2023-12-08,1
20,20 Dillon McCafferty,0,9,2,0,1,0,0,1,2,0,2,0,0,1,Middlebury,2023-12-08,1
31,31 Ethan Madeiros,0,4,2,1,0,0,0,0,2,2,0,0.5,NA,NA,Middlebury,2023-12-08,1
11,11 Ian Bentley,0,15,2,0,3,0,0,2,0,1,1,0,0,NA,Middlebury,2023-12-08,1
24,24 Sebastian ObregÃ³n-P,0,6,1,0,0,0,0,0,0,0,1,0,0,NA,Middlebury,2023-12-08,1
03,03 Siraj Saker,0,5,0,2,0,0,0,0,0,0,0,0,0,0,Middlebury,2023-12-08,1
TM,TM TEAM,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,Middlebury,2023-12-08,1
,Totals,NA,200,33,10,11,7,3,7,51,11,22,0.3076923076923077,0.15625,0.35294117647058826,Middlebury,2023-12-08,1
22,"22 Flaks, Evan",1,27,3,2,6,2,0,0,17,0,3,0.6666666666666666,0.5,NA,Skidmore,2023-12-08,0
14,"14 Joseph, Tristan",1,26,1,0,1,1,0,1,10,0,1,0.4,0.4,NA,Skidmore,2023-12-08,0
23,"23 Moore, Charley",1,20,7,2,2,0,1,0,10,3,4,0.8,1,0.5,Skidmore,2023-12-08,0
03,"03 Osher, Noah",1,34,7,0,4,1,1,1,9,0,7,0.23529411764705882,0.1111111111111111,NA,Skidmore,2023-12-08,0
24,"24 Brennan, David",1,30,20,0,4,1,0,0,8,9,11,0.8,NA,NA,Skidmore,2023-12-08,0
12,"12 Witherington, Edward",0,18,1,3,1,2,1,0,7,0,1,0.375,0.3333333333333333,NA,Skidmore,2023-12-08,0
01,"01 Cwalina, Kuba",0,11,1,0,0,2,0,0,4,0,1,0.3333333333333333,0,NA,Skidmore,2023-12-08,0
13,"13 Newell, Mark",0,8,2,5,1,1,0,0,2,2,0,0,NA,1,Skidmore,2023-12-08,0
10,"10 Cisse, Lamine",0,7,3,1,1,0,0,0,2,0,3,1,NA,NA,Skidmore,2023-12-08,0
11,"11 Murray, Ian",0,13,3,1,0,2,0,0,0,1,2,0,NA,NA,Skidmore,2023-12-08,0
05,"05 Urena, Oliver",0,3,0,0,0,0,0,0,0,0,0,0,NA,NA,Skidmore,2023-12-08,0
15,"15 Smith, Dean",0,3,2,1,0,0,0,0,0,0,2,0,0,0,Skidmore,2023-12-08,0
TM,TM TEAM,0,0,2,0,0,0,0,0,0,1,1,NA,NA,NA,Skidmore,2023-12-08,0
,Totals,NA,200,52,15,20,12,3,2,69,16,36,0.43478260869565216,0.2727272727272727,0.6,Skidmore,2023-12-08,0
03,"03 Osher, Noah",1,40,4,2,6,2,0,3,34,0,4,0.4782608695652174,0.36363636363636365,1,Middlebury,2023-12-10,1
